Vehicle_Type,Vehicle_Age,Odometer,Maintenance_Count,Repair_Type,Severity,Parts_Available,Technician_Experience,Workshop_Load,Repair_Time_Hours
Mini Truck,10,390523,0,Clutch Repair,High,0,12,3,67.86
Mini Truck,1,45146,5,Engine Repair,High,1,3,2,57.46
Bus,2,84475,8,Clutch Repair,High,0,7,8,60.02
Mini Truck,6,216492,11,Oil Change,Medium,0,6,4,37.37
Bus,3,80811,5,Clutch Repair,Medium,0,14,8,63.22
Van,3,83270,11,Battery Replacement,Low,1,4,1,10.86
Van,1,35341,4,Clutch Repair,Medium,1,5,1,23.96
Van,5,171789,13,Oil Change,High,1,5,2,33.16
Bus,7,279863,14,Suspension Repair,Medium,0,8,8,64.37
Bus,2,97650,6,Brake Repair,Medium,0,9,5,40.71
Truck,2,71490,10,Transmission Repair,Medium,1,10,7,66.72
Van,12,532735,11,Battery Replacement,Low,1,10,7,27.64
Bus,11,305072,2,Suspension Repair,Medium,0,1,3,58.06
Truck,3,83812,3,Electrical Repair,Medium,1,10,1,16.75
Van,11,510889,11,Electrical Repair,Medium,0,10,3,62.43
Bus,7,257414,8,Engine Repair,Low,0,12,3,76.44
Mini Truck,9,255870,8,Transmission Repair,High,1,4,10,93.27
Bus,12,557530,6,Brake Repair,Low,0,8,3,48.12
Truck,11,442556,11,Brake Repair,High,1,15,5,41.35
Van,12,391273,11,Clutch Repair,Low,0,4,3,59.34
Mini Truck,1,36825,8,Electrical Repair,Medium,0,10,2,32.8
Bus,7,300479,13,Suspension Repair,High,0,3,6,66.73
Mini Truck,8,378286,16,Electrical Repair,Low,0,13,3,57.59
Truck,2,83954,2,Transmission Repair,Low,0,6,4,78.38
Bus,2,66423,3,Clutch Repair,Medium,0,11,5,61.14
Truck,9,393031,5,Tyre Replacement,Low,1,14,10,25.94
Truck,1,27661,0,Transmission Repair,High,0,13,10,101.18
Truck,8,364407,9,Transmission Repair,Medium,0,13,7,92.81
Mini Truck,2,95128,0,Tyre Replacement,Medium,1,8,8,20.27
Van,6,187661,5,Electrical Repair,High,1,7,3,34.73
Bus,9,372233,3,Electrical Repair,Low,1,2,5,25.65
Mini Truck,4,118465,1,Oil Change,Medium,1,14,10,19.31
Mini Truck,4,120932,5,Electrical Repair,Low,0,8,9,49.57
Mini Truck,5,190191,0,Brake Repair,Medium,1,4,4,26.13
Bus,1,26656,4,Battery Replacement,High,1,5,9,29.03
Truck,2,78241,2,Transmission Repair,High,1,13,7,74.65
Bus,1,38126,0,Clutch Repair,Low,1,9,5,18.86
Truck,7,307187,14,Clutch Repair,Medium,0,3,2,64.13
Bus,6,296232,5,Tyre Replacement,Low,1,9,1,13.14
Truck,1,29490,5,Battery Replacement,High,1,3,10,35.52
Van,6,233500,2,Suspension Repair,High,1,10,6,39.78
Mini Truck,12,595134,9,Battery Replacement,Low,1,6,2,20.82
Mini Truck,10,330655,0,Battery Replacement,Medium,0,12,1,47.17
Mini Truck,3,143712,10,Suspension Repair,Low,0,1,10,46.98
Van,1,39451,5,Suspension Repair,Low,1,12,4,16.53
Mini Truck,9,428154,15,Oil Change,High,0,9,4,69.67
Bus,11,525804,16,Suspension Repair,Medium,0,8,9,69.25
Bus,11,413601,19,Battery Replacement,Low,0,5,9,59.42
Van,5,226079,4,Engine Repair,High,1,6,8,71.53
Bus,9,433510,8,Transmission Repair,Low,1,15,7,62.58
Bus,3,113070,0,Transmission Repair,High,0,6,8,97.9
Mini Truck,4,126485,8,Transmission Repair,High,1,3,2,74.54
Van,4,106653,10,Clutch Repair,Low,0,1,2,56.17
Bus,12,547675,3,Tyre Replacement,Low,0,7,8,52.59
Van,5,167096,4,Oil Change,Low,0,9,1,24.14
Mini Truck,3,79763,6,Battery Replacement,Low,1,15,1,4.51
Truck,5,199443,9,Brake Repair,Medium,1,8,9,32.73
Mini Truck,3,141088,7,Transmission Repair,Low,0,6,3,80.41
Bus,12,397621,0,Electrical Repair,Medium,0,3,10,62.71
Mini Truck,9,310964,2,Suspension Repair,High,0,3,3,70.06
Bus,4,100895,4,Suspension Repair,Low,1,13,5,18.2
Bus,5,201344,11,Oil Change,Medium,1,12,4,23.44
Truck,11,336983,14,Transmission Repair,Low,1,11,9,75.28
Bus,12,361559,20,Transmission Repair,Medium,0,4,3,103.99
Van,8,396014,11,Suspension Repair,High,1,13,9,54.2
Van,4,189173,12,Brake Repair,High,1,9,6,43.54
Truck,10,279414,1,Clutch Repair,High,0,10,9,73.06
Van,6,286404,7,Brake Repair,High,0,12,10,67.33
Truck,9,341780,1,Battery Replacement,Low,1,8,10,21.95
Truck,9,346209,9,Oil Change,Medium,1,14,1,21.4
Van,10,269144,1,Suspension Repair,Medium,0,9,1,39.48
Mini Truck,1,34407,6,Tyre Replacement,Low,1,6,7,14.73
Mini Truck,7,273473,2,Clutch Repair,Low,1,2,3,31.98
Mini Truck,9,258383,7,Oil Change,Low,1,8,9,21.93
Mini Truck,9,324425,7,Engine Repair,Medium,1,3,5,61.13
Van,12,359163,1,Suspension Repair,High,0,4,4,54.81
Truck,10,258801,14,Oil Change,Low,0,7,8,44.14
Van,1,29591,8,Transmission Repair,Low,1,10,10,61.59
Bus,4,139552,2,Clutch Repair,Low,1,5,5,25.6
Truck,9,380101,5,Suspension Repair,High,1,1,6,54.17
Mini Truck,9,308554,13,Suspension Repair,Low,1,7,3,27.03
Mini Truck,4,129536,4,Tyre Replacement,Medium,0,9,7,45.12
Van,7,238663,8,Engine Repair,Medium,0,15,8,81.65
Truck,9,414945,6,Oil Change,Medium,1,11,10,33.83
Truck,2,62331,9,Clutch Repair,Low,1,4,6,28.05
Bus,1,31940,3,Brake Repair,High,1,15,4,28.15
Van,7,237739,10,Transmission Repair,Medium,1,9,6,71.2
Bus,5,172139,8,Battery Replacement,Medium,0,13,8,42.96
Van,6,232030,6,Oil Change,High,0,12,3,42.14
Bus,9,378100,13,Transmission Repair,Low,0,6,4,92.68
Van,8,344347,10,Transmission Repair,Medium,1,8,3,68.34
Bus,3,93344,11,Clutch Repair,Medium,0,15,9,51.67
Truck,2,93792,0,Oil Change,Medium,0,14,4,23.37
Van,1,32167,8,Battery Replacement,Medium,0,10,10,49.35
Mini Truck,1,25216,8,Clutch Repair,Medium,0,1,9,61.68
Bus,1,41456,6,Tyre Replacement,Low,0,9,3,29.69
Van,10,388007,8,Electrical Repair,Medium,1,2,6,34.4
Mini Truck,8,348111,7,Engine Repair,Medium,0,11,1,70.55
Mini Truck,7,273872,15,Oil Change,High,0,12,3,45.03
Mini Truck,7,344058,10,Brake Repair,High,0,4,4,71.34
Mini Truck,5,131102,1,Transmission Repair,High,0,3,6,91.59
Van,10,287798,12,Brake Repair,Medium,0,10,4,60.64
Mini Truck,11,448921,12,Tyre Replacement,High,0,9,6,56.24
Truck,7,235855,2,Electrical Repair,High,1,13,6,37.14
Truck,11,418302,14,Battery Replacement,Low,1,9,7,26.5
Mini Truck,3,124816,1,Transmission Repair,Low,0,2,5,72.67
Mini Truck,12,380885,12,Electrical Repair,Medium,0,2,1,56.61
Mini Truck,6,220717,1,Tyre Replacement,Low,0,7,8,47.82
Mini Truck,2,51721,1,Electrical Repair,High,0,10,10,58.23
Mini Truck,1,34563,6,Suspension Repair,Low,0,10,9,42.64
Mini Truck,3,93198,4,Transmission Repair,Medium,1,3,2,61.35
Van,7,247341,13,Transmission Repair,Medium,0,6,5,93.3
Mini Truck,10,411656,6,Battery Replacement,Low,0,5,1,41.68
Bus,10,349585,10,Battery Replacement,Medium,1,14,10,30.24
Van,5,167030,9,Engine Repair,Medium,1,3,7,58.95
Bus,5,221321,11,Battery Replacement,High,0,6,7,59.91
Mini Truck,6,179855,14,Engine Repair,High,0,11,9,88.12
Mini Truck,12,409916,14,Transmission Repair,High,0,14,7,117.16
Van,11,433771,7,Transmission Repair,High,0,12,7,111.17
Truck,8,356744,15,Suspension Repair,High,1,9,1,47.72
Bus,12,581493,19,Brake Repair,Low,0,11,6,50.13
Truck,10,419091,12,Electrical Repair,Medium,0,1,2,55.49
Van,9,420783,16,Clutch Repair,High,0,8,6,83.6
Mini Truck,11,537388,4,Electrical Repair,Low,1,2,5,29.44
Mini Truck,2,57606,2,Electrical Repair,Medium,1,8,4,21.37
Mini Truck,6,274823,1,Battery Replacement,High,1,6,2,29.9
Bus,1,48290,1,Oil Change,Medium,0,11,3,29.91
Van,9,266978,10,Clutch Repair,Medium,1,4,7,48.98
Van,3,131640,6,Oil Change,High,0,8,10,61.56
Mini Truck,1,48092,3,Engine Repair,Medium,0,10,2,73.74
Van,6,235454,3,Battery Replacement,Low,1,11,8,16.03
Bus,10,351879,12,Brake Repair,Medium,1,14,8,34.97
Van,11,430946,19,Brake Repair,High,0,6,2,65.55
Bus,2,61996,5,Tyre Replacement,High,1,7,10,36.11
Van,10,350587,13,Tyre Replacement,Medium,0,9,3,55.5
Bus,3,99523,5,Battery Replacement,High,0,14,6,38.46
Mini Truck,3,100575,6,Clutch Repair,High,1,7,8,54.19
Mini Truck,12,532706,15,Tyre Replacement,Low,0,13,4,44.42
Truck,5,154470,8,Transmission Repair,Low,1,10,8,61.52
Truck,10,279938,8,Clutch Repair,Medium,0,13,8,75.32
Van,7,201847,7,Transmission Repair,Low,1,5,6,66.5
Truck,8,230772,7,Engine Repair,High,1,14,10,74.86
Mini Truck,3,93249,3,Engine Repair,Low,1,9,5,44.99
Van,6,226712,4,Transmission Repair,High,0,3,7,95.94
Bus,11,341525,4,Engine Repair,Low,1,14,4,48.02
Mini Truck,8,237269,8,Suspension Repair,Medium,1,2,2,32.72
Mini Truck,9,421556,8,Electrical Repair,Medium,1,6,10,38.66
Truck,12,348833,14,Electrical Repair,Low,1,4,7,37.54
Van,8,270395,10,Transmission Repair,Medium,0,10,8,96.21
Truck,1,28262,7,Oil Change,Low,0,8,8,24.13
Mini Truck,4,190255,2,Transmission Repair,Low,1,2,6,60.46
Bus,2,74369,10,Tyre Replacement,Low,1,11,5,13.27
Van,7,346831,2,Brake Repair,Low,0,8,2,30.34
Van,9,403253,14,Oil Change,Low,1,14,2,15.59
Mini Truck,12,369297,15,Brake Repair,Low,1,2,2,29.08
Truck,6,246354,14,Transmission Repair,Low,1,13,3,61.45
Van,2,84767,9,Oil Change,High,0,8,6,48.53
Van,7,336500,14,Engine Repair,Low,0,3,2,82.42
Mini Truck,6,262561,5,Tyre Replacement,Low,1,11,2,11.59
Van,9,382548,9,Oil Change,High,1,4,9,42.73
Van,12,505390,9,Oil Change,Low,1,7,2,18.14
Van,8,367269,2,Clutch Repair,Low,1,15,6,29.44
Van,7,323997,13,Electrical Repair,High,0,13,8,60.11
Truck,10,267703,0,Transmission Repair,Low,0,15,1,78.6
Bus,11,537693,13,Suspension Repair,High,1,2,9,64.53
Van,5,135957,4,Brake Repair,High,0,13,3,60.77
Bus,7,328730,2,Transmission Repair,High,1,12,4,75.97
Truck,4,111300,6,Brake Repair,Medium,0,5,3,36.17
Truck,12,371938,0,Tyre Replacement,Medium,1,9,9,28.41
Bus,3,123741,2,Transmission Repair,High,0,13,1,88.7
Mini Truck,5,193662,1,Transmission Repair,High,0,8,8,107.06
Bus,1,41371,9,Tyre Replacement,Medium,0,5,2,45.96
Truck,4,197095,8,Oil Change,Low,0,4,1,36.22
Bus,7,214343,5,Oil Change,High,1,4,6,37.48
Van,7,258869,8,Brake Repair,High,1,2,9,50.15
Truck,3,104253,8,Oil Change,Medium,0,15,8,40.63
Bus,6,172645,8,Battery Replacement,Low,1,4,5,18.23
Bus,12,427183,14,Electrical Repair,High,1,13,4,48.25
Van,3,75835,6,Oil Change,Low,1,11,1,4.26
Bus,1,49868,6,Transmission Repair,Low,0,9,4,79.35
Mini Truck,1,29665,4,Brake Repair,Low,0,15,9,39.82
Bus,8,396057,2,Brake Repair,High,0,11,7,54.26
Truck,7,348655,4,Engine Repair,Medium,1,14,6,53.74
Mini Truck,12,471049,10,Battery Replacement,Medium,0,2,4,47.76
Truck,3,88848,2,Battery Replacement,Medium,1,7,2,13.08
Bus,4,159233,4,Battery Replacement,Medium,0,2,3,41.79
Truck,4,142964,2,Brake Repair,High,0,6,7,66.25
Truck,11,431678,8,Tyre Replacement,Low,1,14,8,29.22
Van,2,80280,1,Tyre Replacement,Low,0,1,4,25.17
Van,7,272580,2,Transmission Repair,Low,0,2,4,89.47
Van,2,71728,1,Oil Change,Medium,0,3,10,47.98
Mini Truck,8,207728,12,Suspension Repair,Low,1,4,3,33.16
Bus,5,183459,2,Oil Change,High,0,11,5,54.32
Mini Truck,9,350575,1,Brake Repair,Medium,1,3,7,29.43
Van,11,405625,17,Oil Change,Medium,1,8,9,36.66
Mini Truck,6,298282,8,Electrical Repair,Medium,1,3,1,21.64
Bus,10,307414,0,Transmission Repair,Low,1,9,6,62.22
Van,3,88124,3,Engine Repair,Medium,0,13,4,75.26
Mini Truck,6,195537,2,Engine Repair,High,1,13,6,64.66
Truck,12,484382,18,Tyre Replacement,High,0,14,8,78.93
Bus,3,139282,0,Brake Repair,Low,0,10,4,26.75
Mini Truck,1,35870,9,Engine Repair,Low,1,12,3,42.66
Bus,1,25718,2,Tyre Replacement,Low,1,2,6,10.9
Mini Truck,10,276484,10,Transmission Repair,Medium,0,3,7,102.87
Bus,3,148659,11,Electrical Repair,Low,0,7,5,43.07
Van,3,75235,11,Suspension Repair,High,0,3,10,69.81
Van,11,329583,15,Tyre Replacement,Medium,0,4,6,60.46
Van,11,321517,10,Battery Replacement,Low,1,4,4,24.97
Truck,6,217281,12,Brake Repair,High,0,1,7,70.73
Mini Truck,3,129266,7,Suspension Repair,Medium,1,2,8,31.37
Van,3,134151,1,Oil Change,Medium,0,6,5,34.05
Truck,6,194592,14,Suspension Repair,Low,0,9,2,46.52
Mini Truck,12,316249,13,Tyre Replacement,High,1,3,1,42.84
Truck,6,203883,3,Suspension Repair,High,1,11,5,37.25
Bus,4,112571,0,Suspension Repair,High,1,3,1,33.23
Bus,1,39011,1,Transmission Repair,High,1,4,2,68.7
Truck,4,122391,10,Transmission Repair,Low,1,14,2,54.52
Bus,7,298455,15,Transmission Repair,Low,1,3,6,69.78
Mini Truck,6,198911,7,Oil Change,Medium,1,8,5,22.83
Van,5,198956,0,Tyre Replacement,High,0,2,6,60.85
Mini Truck,10,309641,17,Oil Change,Medium,1,9,8,34.11
Van,8,278342,2,Suspension Repair,High,0,9,10,77.82
Van,2,99623,7,Tyre Replacement,Low,0,13,4,26.13
Truck,7,195543,13,Engine Repair,High,0,14,10,96.88
Bus,12,335133,2,Suspension Repair,High,1,9,6,45.9
Bus,9,345103,0,Clutch Repair,Medium,0,7,3,48.68
Truck,2,86876,1,Transmission Repair,High,1,15,7,74.62
Bus,7,346648,15,Battery Replacement,Low,0,5,7,42.33
Mini Truck,1,37969,5,Engine Repair,Low,1,15,5,38.68
Bus,1,36071,4,Transmission Repair,Medium,1,14,2,57.26
Van,3,114384,11,Battery Replacement,Medium,1,12,7,21.58
Truck,4,157896,3,Suspension Repair,High,1,13,9,45.14
Bus,1,41884,2,Brake Repair,Medium,1,3,9,24.85
Truck,3,100265,3,Oil Change,Low,0,8,1,32.12
Van,5,173280,13,Battery Replacement,High,1,11,2,33.94
Truck,4,148819,7,Battery Replacement,Low,1,10,9,17.39
Bus,6,192864,13,Transmission Repair,High,0,5,1,104.47
Truck,3,103091,3,Engine Repair,High,0,5,7,95.32
Truck,11,279665,15,Tyre Replacement,High,0,10,1,59.13
Bus,10,461048,9,Transmission Repair,Medium,1,14,6,71.38
Mini Truck,5,153601,7,Transmission Repair,High,1,10,2,75.01
Truck,9,398632,11,Clutch Repair,High,1,5,2,55.4
Mini Truck,2,72038,4,Electrical Repair,Medium,1,11,5,16.9
