Vehicle_Type,Fuel_Type,Vehicle_Age,Average_Mileage,Trip_Distance,Max_Capacity,Cargo_Weight,Traffic,Road_Type,AC,Fuel_Required
Bus,Petrol,2,4.9,699,1,1,Low,Mixed,1,191.0
Bus,Petrol,6,3.8,216,1,0,Medium,Mixed,1,73.74
Van,Petrol,7,12.29,313,500,155,Low,City,1,31.65
Mini Truck,Petrol,8,8.7,832,3093,1938,High,Highway,0,135.5
Bus,Petrol,2,4.64,708,0,0,Medium,Highway,0,170.43
Van,Diesel,1,10.47,890,1473,1251,Low,City,1,115.04
Van,Petrol,8,11.4,724,802,671,Low,Highway,1,82.06
Van,Diesel,12,12.11,275,602,570,Low,City,0,33.95
Mini Truck,Petrol,8,8.45,536,3946,3653,Medium,Mixed,1,94.78
Van,Petrol,8,10.56,672,1006,860,Medium,Mixed,1,92.15
Van,Petrol,8,9.46,298,1085,480,Medium,City,0,44.03
Van,Diesel,4,11.3,239,812,723,Low,City,1,30.01
Bus,Petrol,7,3.12,946,1,1,High,Mixed,0,471.14
Mini Truck,Petrol,1,9.77,893,2223,1597,Medium,Mixed,0,120.01
Mini Truck,Diesel,5,7.74,364,1118,796,High,Mixed,1,71.64
Van,Petrol,3,14.88,948,1593,55,Medium,Mixed,0,76.16
Truck,Petrol,3,5.6,286,5977,411,Medium,City,0,64.57
Mini Truck,Petrol,6,9.04,790,2552,1139,Medium,City,0,122.48
Mini Truck,Diesel,12,8.16,685,2433,918,Low,Mixed,0,108.06
Truck,Diesel,4,5.52,149,5496,1954,Medium,Mixed,0,34.57
Van,Petrol,12,10.54,640,1255,343,High,Mixed,0,90.42
Van,Petrol,2,12.47,426,1138,768,High,Highway,0,46.94
Van,Diesel,12,13.63,844,1901,1229,Low,Mixed,0,80.74
Bus,Petrol,11,3.74,889,1,0,Medium,City,0,323.71
Mini Truck,Petrol,11,9.57,465,2883,626,Low,Mixed,1,64.0
Mini Truck,Petrol,7,9.3,350,3426,1099,Low,Highway,1,44.28
Mini Truck,Diesel,8,8.28,364,3736,1552,Low,City,1,61.44
Van,Petrol,4,11.13,306,1029,697,High,Mixed,1,38.42
Truck,Diesel,2,3.72,588,9658,8004,Low,Mixed,1,206.34
Mini Truck,Petrol,1,6.37,728,1907,828,Low,City,1,147.32
Mini Truck,Petrol,7,9.99,380,3254,1354,High,City,1,59.17
Bus,Petrol,4,3.24,343,0,0,Low,Mixed,0,118.68
Van,Diesel,12,11.91,798,1983,1207,High,Mixed,1,103.45
Truck,Diesel,5,3.68,34,5939,2476,High,Mixed,0,12.9
Bus,Diesel,1,4.11,673,0,0,Medium,Highway,0,182.19
Bus,Petrol,8,3.88,72,0,0,Medium,City,0,26.45
Truck,Petrol,8,3.22,172,3878,621,High,City,0,78.37
Van,Diesel,9,13.59,829,1741,1220,High,Highway,1,89.69
Mini Truck,Petrol,5,9.44,602,2756,1250,High,Highway,0,85.59
Van,Diesel,5,12.96,197,821,245,High,Highway,0,21.22
Truck,Petrol,8,5.07,53,10699,4771,Low,City,1,14.61
Mini Truck,Diesel,11,6.93,455,2083,810,Low,Mixed,0,82.09
Van,Petrol,3,9.43,334,839,811,High,Mixed,1,55.66
Mini Truck,Diesel,8,8.75,985,3866,1648,Medium,Mixed,1,156.22
Mini Truck,Diesel,10,6.16,638,2769,1320,Medium,Highway,0,134.34
Van,Diesel,11,13.93,801,1680,82,Low,City,1,74.99
Bus,Diesel,10,3.87,501,1,0,Medium,City,1,180.85
Bus,Diesel,3,3.66,698,1,1,Medium,Mixed,0,264.62
Mini Truck,Diesel,6,7.01,905,1474,827,High,Highway,1,182.99
Mini Truck,Diesel,4,8.07,530,3550,3098,High,City,0,103.27
Van,Petrol,9,9.79,921,1089,897,High,City,0,151.61
Truck,Diesel,12,3.48,437,3224,2262,Low,Highway,0,156.51
Mini Truck,Diesel,11,9.33,318,3041,2935,High,Mixed,1,55.4
Mini Truck,Petrol,8,6.97,412,3257,592,Low,Mixed,0,68.8
Truck,Petrol,7,4.02,860,11318,4377,Low,City,1,286.08
Mini Truck,Diesel,8,8.15,585,2413,1361,High,City,1,114.54
Bus,Diesel,12,3.48,896,1,0,Medium,Highway,1,326.03
Mini Truck,Petrol,7,9.95,527,3670,623,Low,Highway,1,60.75
Truck,Petrol,2,4.58,759,10486,251,Low,City,0,195.09
Truck,Petrol,5,4.02,892,9512,1315,Medium,Mixed,1,291.8
Bus,Petrol,9,3.07,260,0,0,High,Mixed,1,122.16
Van,Diesel,7,14.87,913,1797,1441,Low,City,0,84.08
Bus,Diesel,1,3.65,320,0,0,Medium,City,1,114.76
Van,Diesel,9,11.47,204,1896,1623,Low,Highway,0,19.82
Mini Truck,Diesel,8,9.65,492,1586,475,High,City,1,79.19
Bus,Diesel,8,4.8,95,0,0,Medium,City,1,27.38
Mini Truck,Petrol,8,9.38,893,1815,787,Medium,Highway,0,122.73
Mini Truck,Petrol,10,7.18,42,3864,1209,High,City,1,8.99
Truck,Diesel,10,5.24,838,7689,6354,Low,Mixed,1,220.86
Van,Diesel,10,10.5,695,1976,1571,High,Highway,0,96.8
Truck,Petrol,8,3.1,112,8977,2153,Medium,City,1,50.02
Van,Diesel,3,13.72,533,1249,1087,Medium,Highway,1,53.3
Mini Truck,Petrol,12,9.48,97,1471,959,Low,Highway,1,14.07
Bus,Diesel,7,3.03,485,0,0,Medium,Mixed,1,209.04
Mini Truck,Petrol,2,8.7,654,2931,102,High,City,0,103.87
Truck,Petrol,12,3.91,163,9689,1911,Low,Highway,1,51.94
Mini Truck,Diesel,2,6.94,417,3201,555,Medium,City,1,79.51
Van,Petrol,11,9.59,437,1502,1260,Medium,Highway,1,65.0
Van,Petrol,8,14.7,722,1242,203,Medium,Mixed,1,68.42
Truck,Petrol,5,3.57,113,5001,3725,High,Highway,0,43.25
Truck,Petrol,4,5.97,869,6362,562,High,Highway,0,185.04
Van,Petrol,3,13.73,303,1720,5,Low,Highway,1,23.97
Van,Diesel,11,14.2,386,769,15,Low,Mixed,1,33.2
Truck,Diesel,5,3.16,136,9897,8619,High,Highway,1,61.7
Mini Truck,Petrol,9,8.37,246,2851,2063,High,Highway,1,43.88
Mini Truck,Diesel,1,9.99,722,2645,1746,Low,City,1,94.76
Truck,Diesel,6,4.82,301,4076,516,High,Mixed,1,90.04
Mini Truck,Petrol,8,8.02,832,2762,406,High,Highway,0,136.5
Mini Truck,Petrol,4,7.66,445,2857,1633,High,Highway,1,83.94
Mini Truck,Petrol,11,7.02,965,1625,1406,Medium,Highway,0,186.8
Truck,Diesel,7,3.29,589,9105,2131,Low,Mixed,1,221.99
Truck,Petrol,6,5.62,314,9929,842,High,City,1,84.52
Truck,Diesel,3,4.97,378,6674,886,High,City,0,106.82
Bus,Diesel,7,4.69,643,0,0,High,Mixed,1,194.96
Truck,Diesel,5,5.11,367,8062,7549,Medium,Highway,0,96.27
Van,Petrol,2,9.85,113,1796,62,High,Mixed,0,13.29
Mini Truck,Petrol,8,7.36,758,2515,1276,Medium,Mixed,0,139.39
Truck,Diesel,3,5.26,103,3815,2760,Medium,City,1,28.91
Mini Truck,Petrol,7,7.09,373,3098,466,Medium,Highway,1,66.55
Mini Truck,Petrol,1,6.88,27,3454,224,Low,City,0,3.11
Van,Petrol,5,10.97,784,515,509,Medium,Highway,0,93.32
Mini Truck,Diesel,9,8.23,382,3736,3302,Low,City,0,65.57
Mini Truck,Diesel,8,9.68,607,2282,1758,Medium,Mixed,1,91.2
Bus,Diesel,7,3.04,840,1,0,High,City,1,412.01
Truck,Petrol,2,3.73,100,9560,8584,Medium,City,1,40.14
Van,Petrol,3,9.46,563,1796,233,High,Highway,1,77.94
Bus,Diesel,4,3.21,197,1,0,High,Highway,0,77.61
Van,Petrol,8,13.53,717,1686,919,High,Mixed,1,81.33
Bus,Diesel,8,3.14,835,1,1,Medium,Mixed,0,382.07
Bus,Diesel,5,3.92,78,0,0,Medium,City,0,28.11
Truck,Petrol,8,4.74,950,3672,1842,High,Mixed,0,295.25
Bus,Petrol,9,3.3,481,0,0,Low,City,0,179.31
Van,Diesel,4,13.25,555,1399,1073,High,Highway,1,61.44
Bus,Petrol,7,3.82,828,1,0,High,Mixed,1,306.62
Truck,Petrol,2,4.67,278,9333,4655,High,Mixed,0,84.87
Bus,Diesel,10,4.33,691,1,1,High,Mixed,1,261.51
Van,Diesel,5,12.35,356,1817,1621,Low,Mixed,0,36.22
Mini Truck,Petrol,1,7.45,369,1738,438,Medium,Highway,0,58.38
Van,Diesel,2,10.77,809,707,519,High,Mixed,0,109.57
Bus,Diesel,10,3.75,205,0,0,High,Mixed,0,77.52
Mini Truck,Diesel,7,7.46,474,3947,972,High,City,1,99.77
Van,Diesel,5,14.79,396,1460,397,High,Mixed,1,38.5
Mini Truck,Petrol,7,8.01,856,2714,663,Low,Mixed,0,126.69
Bus,Diesel,11,3.96,748,1,0,High,Highway,1,259.6
Truck,Diesel,5,4.35,870,11410,2414,Medium,Highway,0,236.64
Mini Truck,Petrol,1,7.66,402,2623,2056,Low,City,0,68.19
Bus,Diesel,1,3.64,879,0,0,High,Mixed,1,328.83
Van,Diesel,1,10.72,871,1467,1425,Low,Mixed,1,107.16
Mini Truck,Diesel,2,6.08,173,1883,1710,High,Mixed,1,44.63
Truck,Petrol,4,3.9,449,3782,976,High,Mixed,1,165.39
Truck,Diesel,8,4.79,547,3269,2588,High,Highway,0,166.47
Bus,Petrol,1,4.23,604,0,0,Medium,Highway,0,158.18
Bus,Diesel,9,4.09,419,0,0,Medium,Highway,1,130.3
Bus,Petrol,12,3.03,373,0,0,Low,Mixed,0,148.47
Bus,Diesel,1,3.7,870,1,0,High,City,1,335.21
Van,Diesel,2,13.3,320,1437,75,Low,Highway,0,23.48
Truck,Petrol,5,4.55,279,11897,7756,Low,Mixed,0,77.06
Bus,Petrol,1,4.73,147,1,1,Medium,City,1,46.04
Mini Truck,Petrol,6,9.89,529,3032,2834,Medium,Mixed,1,78.86
Truck,Petrol,2,4.29,320,5956,4468,Medium,Highway,0,94.18
Bus,Petrol,5,3.89,726,1,0,Medium,City,1,251.87
Truck,Petrol,10,5.99,830,7498,5238,Low,Highway,1,175.76
Bus,Diesel,1,3.29,149,1,0,Low,Highway,1,46.19
Bus,Petrol,10,3.06,715,0,0,Medium,City,1,326.59
Mini Truck,Diesel,10,6.55,341,2503,1630,High,City,0,83.66
Truck,Diesel,12,3.56,955,11482,6340,High,Highway,1,399.8
Bus,Petrol,4,4.99,224,1,1,Low,Highway,0,53.27
Mini Truck,Diesel,12,7.78,703,1359,654,Medium,Mixed,0,125.5
Bus,Petrol,3,4.42,832,0,0,Medium,Mixed,0,228.23
Truck,Diesel,3,3.71,389,11094,430,High,Mixed,1,144.37
Mini Truck,Diesel,10,9.54,427,1269,633,High,Mixed,1,69.1
Mini Truck,Petrol,10,6.3,480,2298,303,Medium,Mixed,1,103.21
Van,Diesel,3,11.6,550,613,127,Low,City,0,56.34
Van,Petrol,12,10.35,886,1562,581,Low,City,0,114.88
Bus,Diesel,11,3.61,534,0,0,High,Highway,0,197.41
Van,Petrol,10,9.25,66,558,83,High,Mixed,1,11.84
Van,Petrol,10,12.83,578,1519,1284,Medium,Mixed,1,68.04
Mini Truck,Diesel,11,7.62,725,2857,298,Low,Highway,1,110.5
Mini Truck,Petrol,8,6.82,340,3484,588,High,City,1,75.17
Mini Truck,Diesel,6,8.06,267,1434,653,Medium,Highway,1,43.42
Mini Truck,Diesel,3,6.39,904,2188,1573,High,City,0,216.98
Van,Petrol,10,13.33,183,888,781,Medium,Mixed,1,21.05
Mini Truck,Petrol,8,6.09,488,2610,2070,Low,Highway,1,106.61
Truck,Diesel,5,4.48,569,10710,4681,Low,Highway,1,150.39
Van,Petrol,12,11.19,66,1325,749,Medium,Highway,0,9.16
Bus,Petrol,2,3.77,865,1,1,High,Mixed,0,345.31
Van,Diesel,7,11.24,981,1194,1142,Medium,Highway,0,117.92
Mini Truck,Diesel,1,6.16,843,3922,1364,Medium,Mixed,1,177.88
Van,Diesel,6,14.59,422,1152,332,High,Mixed,1,43.19
Bus,Petrol,12,4.13,397,1,0,Medium,Mixed,0,124.04
Mini Truck,Petrol,12,9.49,631,3577,109,Medium,City,0,91.17
Truck,Petrol,3,4.57,861,9229,2421,High,Highway,0,243.82
Truck,Diesel,1,4.32,442,9861,2481,High,Highway,1,135.69
Mini Truck,Diesel,12,6.55,352,1849,1148,High,City,1,91.54
Bus,Diesel,8,4.82,712,1,1,High,Mixed,1,235.59
Mini Truck,Diesel,4,7.12,984,2222,921,Medium,City,0,189.42
Mini Truck,Petrol,8,7.4,314,3955,1120,Low,Mixed,1,51.57
Mini Truck,Petrol,3,7.16,374,2178,323,Medium,Mixed,1,66.64
Mini Truck,Diesel,4,9.31,160,2110,1112,Low,Mixed,0,22.19
Van,Diesel,11,14.43,258,962,653,Low,Highway,1,23.0
Bus,Petrol,2,4.36,25,0,0,High,Highway,1,6.1
Mini Truck,Petrol,11,6.8,312,2176,1315,High,Highway,0,65.16
Van,Diesel,3,11.51,876,860,37,Medium,City,0,98.82
Bus,Diesel,1,3.6,970,0,0,Medium,City,1,352.1
Mini Truck,Diesel,9,7.87,135,1789,1656,Medium,Highway,1,24.39
Bus,Diesel,1,4.47,199,1,0,High,Mixed,1,60.6
Mini Truck,Petrol,2,7.6,163,1390,378,Medium,City,0,27.51
Truck,Petrol,7,3.71,329,7374,2700,High,Mixed,0,129.91
Bus,Petrol,12,3.47,496,0,0,Medium,Highway,1,182.29
Bus,Diesel,11,4.83,649,1,1,Low,Highway,0,170.91
Mini Truck,Diesel,8,8.99,445,3481,1530,High,Mixed,1,74.92
Van,Diesel,11,13.53,477,667,538,High,Mixed,1,55.8
Truck,Diesel,1,5.49,606,11281,3312,High,Highway,0,142.63
Bus,Petrol,2,4.36,940,1,0,High,City,0,298.73
Mini Truck,Diesel,9,7.66,592,3309,236,Medium,Mixed,1,102.87
Truck,Petrol,5,5.45,94,6570,4737,Low,City,1,24.4
Truck,Diesel,2,5.96,313,10734,519,Medium,Highway,0,60.31
Mini Truck,Petrol,7,7.79,102,2546,1538,High,Mixed,0,17.92
Bus,Diesel,3,4.99,765,1,0,Low,Highway,0,157.5
Bus,Petrol,11,4.44,863,1,1,Low,Highway,1,259.89
Bus,Diesel,5,3.38,52,0,0,High,City,0,21.06
Van,Diesel,2,9.61,632,568,457,High,Mixed,0,98.45
Van,Diesel,7,11.63,792,1605,444,Low,Highway,1,80.15
Van,Petrol,10,12.59,348,1877,1676,Low,City,0,37.48
Van,Petrol,5,10.65,920,1640,1211,High,Highway,1,126.61
Mini Truck,Diesel,6,9.77,824,3749,1561,High,City,1,133.69
Mini Truck,Diesel,5,7.51,266,3203,1939,Low,City,0,47.6
Mini Truck,Diesel,9,7.65,562,2706,2282,Low,City,0,100.42
Bus,Diesel,6,4.29,114,1,1,High,Mixed,0,40.34
Truck,Petrol,7,5.02,94,3647,3578,Low,Mixed,0,26.36
Mini Truck,Diesel,6,7.21,979,1062,433,Low,Mixed,0,163.91
Mini Truck,Diesel,12,8.42,957,1837,812,Low,Mixed,1,151.65
Bus,Petrol,8,4.07,287,1,1,Medium,Mixed,1,106.0
Mini Truck,Diesel,12,7.88,399,2311,832,Medium,City,0,71.54
Van,Diesel,1,10.56,757,1696,1186,Medium,City,0,99.28
Van,Petrol,4,11.28,583,1003,511,High,Mixed,1,72.69
Bus,Petrol,12,4.28,192,1,1,High,City,0,73.69
Van,Petrol,3,14.5,1000,1610,1314,Low,Mixed,0,86.38
Truck,Diesel,1,4.24,744,6791,556,Low,Highway,0,178.32
Mini Truck,Petrol,1,8.47,954,3731,2525,Medium,Mixed,1,155.34
Truck,Diesel,9,4.65,562,3194,68,High,City,1,181.25
Truck,Petrol,3,3.32,172,4578,4295,Low,Highway,1,64.17
Bus,Petrol,7,3.16,598,1,1,Low,Mixed,0,251.85
Bus,Diesel,11,4.98,115,0,0,Medium,City,1,34.29
Mini Truck,Diesel,11,6.04,531,1701,169,Medium,Mixed,1,117.65
Truck,Diesel,4,3.63,67,10790,4441,Low,Mixed,1,24.36
Truck,Diesel,6,3.05,167,6394,4808,High,City,0,85.72
Bus,Diesel,10,3.48,413,1,1,High,Highway,0,176.84
Bus,Diesel,2,3.87,368,0,0,High,Mixed,1,130.83
Bus,Diesel,11,3.55,253,1,1,Medium,Mixed,1,108.57
Mini Truck,Diesel,11,8.34,810,2556,351,High,City,0,145.42
Truck,Diesel,5,3.46,344,5527,3191,Medium,Highway,0,124.75
Truck,Petrol,8,4.08,155,7419,837,Low,Highway,1,43.24
Mini Truck,Petrol,2,6.11,115,2449,2270,High,Mixed,1,29.06
Mini Truck,Diesel,5,7.66,946,1346,1145,Low,Mixed,0,159.26
Mini Truck,Diesel,3,7.08,169,2099,2019,Low,Highway,1,31.82
Bus,Petrol,5,3.97,389,0,0,Medium,Highway,1,116.1
Van,Petrol,2,9.81,360,513,405,High,City,1,60.62
Mini Truck,Petrol,7,9.26,159,3666,2434,Medium,City,0,22.37
Mini Truck,Petrol,3,9.86,772,2307,1193,High,Mixed,1,115.15
Van,Petrol,7,10.68,136,1304,747,High,Highway,0,18.45
Truck,Petrol,12,3.63,729,7773,6809,Low,City,1,297.09
Van,Petrol,4,10.52,453,815,732,Medium,Highway,1,57.46
Mini Truck,Petrol,9,8.03,576,3833,1713,Low,City,0,94.47
Truck,Diesel,11,4.99,647,5725,5300,Low,Mixed,1,181.79
Bus,Petrol,2,3.02,542,1,0,High,Mixed,0,236.19
Mini Truck,Petrol,7,7.85,727,3783,2410,High,Highway,1,135.74
Truck,Petrol,2,3.89,871,4406,950,High,Highway,1,297.96
Bus,Petrol,8,4.57,507,1,1,Low,City,1,161.14
Bus,Diesel,5,3.09,43,0,0,Medium,Mixed,0,18.2
Van,Diesel,9,10.05,593,827,338,Medium,City,0,83.78
Mini Truck,Diesel,3,8.56,49,2770,1620,High,Mixed,0,9.19
Mini Truck,Petrol,7,6.02,305,1879,421,High,Highway,0,68.16
Van,Petrol,6,10.18,706,733,268,Medium,Mixed,1,93.03
Mini Truck,Petrol,10,6.46,652,2441,1875,Low,Mixed,1,137.42
Truck,Diesel,6,3.35,207,8003,958,Medium,Mixed,0,78.85
Mini Truck,Petrol,10,6.55,210,2571,1732,Medium,Mixed,0,45.66
Van,Petrol,5,9.84,654,1144,923,Low,City,0,89.38
Mini Truck,Diesel,4,9.26,688,3300,2070,Medium,City,1,108.09
Mini Truck,Petrol,8,6.67,834,3315,126,Low,City,0,156.18
Bus,Diesel,9,3.58,582,1,1,High,Highway,0,241.52
Bus,Petrol,9,4.65,798,0,0,High,City,0,251.21
Mini Truck,Diesel,12,9.32,915,2013,609,Low,City,1,134.7
Bus,Diesel,8,4.73,814,0,0,Low,Highway,1,194.2
Mini Truck,Diesel,10,6.56,231,1846,1666,Low,Mixed,1,50.35
Bus,Diesel,6,4.96,606,1,1,Medium,Mixed,0,174.48
Van,Petrol,1,14.95,738,1843,259,Low,Highway,0,52.08
Bus,Diesel,11,3.79,611,0,0,High,City,1,248.22
Mini Truck,Petrol,2,8.53,547,1381,825,High,City,1,99.26
Mini Truck,Petrol,6,8.33,670,1381,938,High,Mixed,1,124.06
Truck,Petrol,4,5.9,294,6470,4052,Medium,City,1,72.02
Van,Petrol,6,14.36,121,599,47,High,City,0,12.56
Truck,Diesel,8,4.37,725,10009,3314,Low,Mixed,1,210.48
Van,Petrol,2,12.93,400,1012,84,High,Mixed,0,41.41
Truck,Petrol,11,3.92,691,6836,3516,Low,Mixed,0,226.8
Truck,Diesel,8,3.23,716,6705,4255,Medium,Highway,0,285.91
Bus,Diesel,7,4.39,254,1,0,Medium,Highway,0,70.21
Truck,Petrol,6,5.64,812,5246,3135,Low,Mixed,0,178.41
Truck,Diesel,10,4.95,759,10210,5753,Low,Mixed,0,195.03
Mini Truck,Petrol,4,6.35,790,1411,286,Low,Mixed,1,151.49
Bus,Petrol,6,4.58,303,0,0,High,Highway,0,85.63
Bus,Diesel,11,4.75,550,0,0,High,Mixed,0,164.01
Mini Truck,Petrol,11,6.22,415,1980,1013,Low,Highway,1,84.29
Truck,Diesel,6,5.8,901,5162,3168,High,City,1,247.06
Van,Petrol,2,9.1,288,638,14,Low,Highway,0,31.33
Mini Truck,Petrol,11,8.85,738,2701,1734,Medium,Highway,0,110.63
Bus,Diesel,5,3.16,847,0,0,Low,Mixed,1,315.47
Mini Truck,Diesel,5,8.79,886,3989,3905,Low,Highway,0,124.77
Truck,Petrol,2,4.36,702,3901,1266,High,Mixed,0,221.76
Truck,Diesel,12,3.41,528,3185,671,Medium,Mixed,1,213.91
Van,Petrol,3,13.5,809,1050,241,Low,City,1,75.8
Bus,Diesel,5,4.42,528,0,0,Medium,Mixed,1,153.4
Truck,Petrol,10,3.5,811,5577,2089,Low,Mixed,0,288.37
Van,Diesel,1,14.15,67,525,250,Medium,City,1,5.62
Van,Diesel,1,12.32,691,1962,1516,Medium,Highway,1,73.15
Van,Petrol,12,10.92,401,659,585,Low,Mixed,0,50.23
Van,Diesel,9,14.89,918,1321,141,Medium,City,1,86.27
Bus,Diesel,9,3.91,318,1,0,High,City,0,118.18
Mini Truck,Petrol,10,9.89,942,1800,1500,High,Highway,0,140.29
Truck,Petrol,1,3.7,993,8675,157,Medium,Highway,1,310.46
Bus,Diesel,4,4.06,449,0,0,Medium,Highway,0,124.38
Bus,Diesel,1,4.84,489,1,1,High,Highway,0,141.59
Van,Petrol,2,12.55,698,627,445,Low,Highway,1,66.36
Bus,Petrol,7,4.4,483,1,1,Medium,Highway,0,148.57
Van,Diesel,10,9.65,480,716,168,Medium,City,1,73.51
Truck,Petrol,4,4.36,892,10591,4341,Low,Highway,0,228.89
Bus,Diesel,4,4.67,113,1,0,High,Highway,1,31.51
Mini Truck,Diesel,11,7.2,994,1712,63,Medium,City,0,188.65
Truck,Petrol,2,5.41,32,5290,994,Low,Highway,0,5.03
Van,Petrol,6,13.12,616,1820,172,High,City,0,67.92
Truck,Diesel,4,5.71,114,10265,2110,Medium,Highway,0,23.15
Mini Truck,Diesel,3,9.7,528,2774,1617,Low,City,1,73.05
Van,Petrol,4,14.45,476,1063,573,Low,Highway,0,36.46
Bus,Petrol,7,4.77,109,1,0,Medium,City,0,30.79
Mini Truck,Diesel,11,9.54,665,3153,1020,High,Highway,1,102.09
Bus,Petrol,9,4.56,417,1,1,Medium,Highway,0,125.15
Bus,Diesel,1,4.79,848,1,0,Medium,Mixed,1,220.01
Van,Diesel,2,10.49,566,993,272,High,Highway,0,70.39
Mini Truck,Petrol,3,6.7,845,3426,1302,High,Mixed,1,182.19
Truck,Petrol,10,4.69,575,6084,4032,Medium,Highway,1,168.15
Truck,Diesel,1,3.7,559,6584,163,Medium,Highway,1,175.94
Van,Diesel,6,13.3,42,1162,121,Low,Mixed,0,3.78
Truck,Petrol,2,4.12,364,9481,1655,Medium,City,0,114.05
Van,Petrol,11,14.76,198,1829,649,High,Mixed,1,20.47
Van,Diesel,7,10.84,150,1910,603,Low,Mixed,0,17.3
Mini Truck,Diesel,3,8.41,674,3504,904,High,Highway,1,109.65
Van,Petrol,12,9.47,191,1210,654,High,Highway,1,31.15
Mini Truck,Diesel,5,6.84,378,3839,277,Medium,Highway,0,66.85
Truck,Petrol,8,5.2,524,5725,3391,Medium,City,1,148.88
Truck,Petrol,10,4.95,482,6695,1332,Low,Highway,1,116.51
Truck,Petrol,5,5.85,194,4215,2800,Medium,Highway,0,42.32
Truck,Petrol,10,5.96,461,10909,507,High,Highway,1,109.24
Van,Diesel,2,10.99,733,889,419,High,Mixed,1,96.06
Bus,Petrol,4,3.19,177,1,1,Low,City,0,75.01
Mini Truck,Diesel,5,9.3,511,3560,2458,Low,Highway,0,63.8
Van,Diesel,11,10.75,884,667,484,Low,City,1,115.92
Mini Truck,Petrol,11,7.06,416,3629,2228,Low,City,1,83.07
Bus,Diesel,8,3.09,289,1,1,Low,City,0,130.96
Van,Diesel,2,13.01,794,1608,847,High,Highway,0,81.64
Mini Truck,Petrol,9,8.75,922,2944,2345,Low,City,1,151.45
Truck,Petrol,12,3.1,713,11467,9363,High,Highway,0,344.26
Mini Truck,Diesel,3,9.89,63,1789,258,Medium,Highway,1,8.82
Van,Diesel,10,10.55,846,1989,1872,Low,Highway,1,105.11
