Vehicle_ID,Vehicle_Type,Age_Years,Odometer_km,Trips_Completed,Fuel_Efficiency_kmpl,Maintenance_Count,Average_Load_Percent,Average_Trip_Distance_km,Engine_Temperature,Tire_Health,Breakdown
VH1031,Bus,12,417892,1407,2.5,15,54,569,104.8,30,1
VH1032,Bus,3,115296,427,2.56,4,61,97,81.4,72,0
VH1033,Bus,9,231332,927,3.3,11,99,35,98.4,30,1
VH1034,Truck,4,101798,1152,3.71,3,57,430,87.0,74,0
VH1035,Truck,3,109672,242,4.96,3,63,485,86.9,79,0
VH1036,Mini Truck,7,322607,2056,9.98,10,92,178,94.5,42,1
VH1037,Van,5,157068,519,11.48,5,99,82,93.9,64,0
VH1038,Mini Truck,1,21643,324,7.51,1,97,181,81.9,89,0
VH1039,Truck,9,222001,1481,2.67,11,38,260,95.3,39,1
VH1040,Bus,2,98345,412,3.16,4,35,103,93.6,77,0
VH1041,Bus,11,526012,3195,3.05,16,63,229,99.5,30,1
VH1042,Mini Truck,4,114814,1130,5.65,6,68,488,94.5,68,0
VH1043,Mini Truck,2,40610,629,8.11,1,42,95,90.6,81,0
VH1044,Van,9,319041,1262,13.6,12,38,270,94.8,34,1
VH1045,Mini Truck,5,141352,1297,9.17,5,68,561,90.9,60,0
VH1046,Truck,11,510771,2106,4.83,15,43,157,103.7,30,1
VH1047,Mini Truck,2,98308,269,8.71,3,49,298,93.5,96,0
VH1048,Mini Truck,10,310430,2204,6.02,12,63,537,99.2,30,1
VH1049,Bus,5,113316,589,3.27,6,65,65,97.7,58,1
VH1050,Truck,6,154293,1784,4.95,7,50,472,95.4,52,0
VH1051,Bus,9,185069,1178,2.15,10,49,578,99.4,39,1
VH1052,Truck,6,272701,1611,2.87,8,46,62,89.1,59,1
VH1053,Mini Truck,6,130458,1212,6.05,7,61,125,96.9,51,0
VH1054,Mini Truck,9,393058,1353,9.63,13,60,186,95.2,33,1
VH1055,Van,7,146497,927,12.42,8,72,441,98.8,58,0
VH1056,Van,5,141732,621,10.3,4,34,501,89.4,71,0
VH1057,Van,4,187031,1262,10.1,5,59,248,95.8,72,0
VH1058,Truck,11,321255,2512,3.32,16,38,305,101.9,30,1
VH1059,Mini Truck,11,487075,2517,8.4,15,98,359,97.6,30,1
VH1060,Truck,2,97477,427,2.95,3,63,59,87.5,83,0
VH1061,Truck,10,427836,2215,4.32,14,70,466,98.2,30,1
VH1062,Truck,7,291149,949,3.14,10,85,21,94.1,40,1
VH1063,Van,6,233062,623,13.69,7,72,341,96.8,56,1
VH1064,Truck,12,397455,3037,3.27,14,82,354,103.6,30,1
VH1065,Bus,12,395008,3230,2.25,14,83,408,104.4,30,1
VH1066,Van,10,498375,2032,10.44,16,30,331,104.2,30,1
VH1067,Mini Truck,4,136346,979,7.32,4,86,238,93.1,74,0
VH1068,Bus,12,328967,3658,2.17,14,95,363,118.4,30,1
VH1069,Truck,4,168184,955,3.06,6,55,170,94.8,71,0
VH1070,Truck,1,28023,323,4.03,0,39,486,89.5,91,0
VH1071,Bus,11,521817,1676,3.44,16,79,526,99.6,30,1
VH1072,Bus,4,99342,331,3.79,6,43,455,83.5,71,0
VH1073,Van,3,127889,715,8.3,2,61,144,87.6,86,0
VH1074,Bus,3,120901,923,3.06,4,70,473,85.2,73,0
VH1075,Bus,9,413787,1371,3.49,13,90,480,95.6,30,1
VH1076,Mini Truck,4,190082,887,8.83,5,96,516,88.4,80,0
VH1077,Van,5,215309,558,12.28,7,60,298,84.4,61,0
VH1078,Mini Truck,6,261597,645,5.69,7,59,412,97.4,52,1
VH1079,Van,12,352172,1223,10.49,14,72,575,105.0,30,1
VH1080,Bus,7,156322,983,3.67,6,79,40,94.2,50,0
VH1081,Bus,8,161545,2080,2.6,8,79,449,104.1,46,1
VH1082,Van,8,217520,1757,10.62,8,33,418,100.7,54,1
VH1083,Mini Truck,11,431978,3846,5.83,16,89,150,95.4,30,1
VH1084,Truck,7,295161,1715,4.16,11,40,458,92.7,45,1
VH1085,Van,8,207639,845,9.56,10,71,236,93.3,39,1
VH1086,Bus,6,208473,2038,3.76,6,65,451,93.6,48,0
VH1087,Mini Truck,2,70822,179,8.75,1,36,378,94.2,94,0
VH1088,Van,11,255975,3549,8.24,12,33,273,99.6,30,1
VH1089,Van,1,40359,158,9.43,3,90,137,88.1,93,0
VH1090,Van,8,343360,1689,12.6,11,51,137,97.2,41,1
VH1091,Van,5,128337,1585,8.15,5,69,404,84.9,71,0
VH1092,Bus,12,343981,1271,3.18,13,61,124,111.4,30,1
VH1093,Mini Truck,11,534788,1375,8.98,16,35,375,103.3,30,1
VH1094,Bus,11,414285,1162,3.01,14,73,32,102.3,30,1
VH1095,Bus,8,187666,2415,3.92,8,88,176,94.5,42,1
VH1096,Bus,3,128386,906,2.54,5,98,515,90.7,79,0
VH1097,Bus,7,331634,1773,2.54,10,61,108,92.2,42,1
VH1098,Mini Truck,8,223927,2543,7.85,10,78,364,99.4,39,1
VH1099,Truck,8,383072,1971,2.95,11,57,383,102.1,35,1
VH1100,Mini Truck,6,193310,1700,8.51,8,65,589,93.2,52,1
VH1101,Truck,9,280168,1070,3.1,12,82,520,96.9,32,1
VH1102,Van,12,489609,3605,12.27,16,87,37,106.7,30,1
VH1103,Truck,5,158090,1228,4.23,7,69,397,91.5,65,0
VH1104,Bus,9,360227,2462,3.99,12,100,358,96.0,40,1
VH1105,Mini Truck,12,477893,2069,6.53,17,59,143,95.8,30,1
VH1106,Van,6,151340,2001,11.22,8,53,216,89.2,57,1
VH1107,Van,12,493859,2092,12.35,17,97,309,103.0,30,1
VH1108,Truck,4,118829,785,3.4,4,68,34,88.3,76,0
VH1109,Van,5,111931,511,11.32,5,46,522,89.2,63,0
VH1110,Truck,1,38810,225,3.67,1,86,368,84.2,88,0
VH1111,Van,1,28273,324,8.68,1,38,430,87.5,90,0
VH1112,Bus,2,77815,214,2.3,2,68,107,88.9,78,0
VH1113,Van,2,76573,586,11.64,1,58,555,85.1,86,0
VH1114,Bus,8,398158,2453,2.59,12,84,332,102.9,40,1
VH1115,Truck,10,252026,1651,4.06,11,63,103,99.9,30,1
VH1116,Van,4,102782,473,8.94,4,82,481,89.8,73,0
VH1117,Bus,5,108556,874,2.58,4,66,484,94.6,74,0
VH1118,Truck,11,342381,1963,4.47,13,55,455,103.1,30,1
VH1119,Truck,9,297864,1330,4.77,11,48,93,99.4,33,1
VH1120,Truck,3,100319,849,4.37,3,66,469,86.4,79,0
VH1121,Truck,8,340532,1885,4.25,11,64,532,102.8,42,1
VH1122,Bus,8,181087,803,3.78,11,71,276,93.9,42,0
VH1123,Truck,2,55002,181,5.0,2,64,61,87.6,90,0
VH1124,Van,8,296043,2451,13.5,9,53,466,100.1,41,1
VH1125,Bus,2,70802,516,2.82,1,71,127,92.1,78,0
VH1126,Van,6,227910,1900,10.97,6,81,583,95.4,60,0
VH1127,Truck,8,183084,1928,3.13,9,44,433,100.0,49,1
VH1128,Truck,11,504475,2772,3.53,16,54,550,101.0,30,1
VH1129,Mini Truck,10,461353,3361,7.21,14,36,228,101.2,30,1
VH1130,Mini Truck,9,248688,1899,7.19,11,92,144,98.2,34,1
VH1131,Truck,11,539224,1860,4.27,16,69,584,91.7,30,1
VH1132,Truck,9,393904,1101,3.06,12,44,492,98.3,32,1
VH1133,Truck,11,300725,2921,4.83,13,67,541,107.6,30,1
VH1134,Mini Truck,7,266484,1527,6.22,9,100,168,89.1,40,1
VH1135,Bus,4,158561,1360,3.49,6,47,91,95.2,75,0
VH1136,Mini Truck,7,229096,2173,7.54,8,30,309,94.3,50,1
VH1137,Mini Truck,10,456712,1408,7.23,16,91,373,104.7,30,1
VH1138,Mini Truck,9,377766,2585,9.66,14,54,264,105.5,30,1
VH1139,Bus,4,192199,1161,2.09,6,90,410,93.6,74,0
VH1140,Bus,11,299746,2908,3.93,12,46,534,104.2,30,1
VH1141,Mini Truck,2,97290,610,5.5,1,88,35,83.3,77,0
VH1142,Van,7,311646,876,8.45,9,63,366,98.4,54,1
VH1143,Bus,11,262108,2225,3.7,12,98,409,108.0,30,1
VH1144,Mini Truck,11,475825,3096,5.18,13,38,260,101.3,30,1
VH1145,Mini Truck,4,177880,505,7.17,5,42,122,82.7,69,0
VH1146,Bus,3,99251,269,2.09,2,37,320,92.2,82,0
VH1147,Mini Truck,6,232901,778,6.22,7,82,599,91.9,50,1
VH1148,Van,3,82946,320,11.66,5,78,266,88.2,72,0
VH1149,Bus,10,275034,1751,2.92,11,62,490,96.7,30,1
VH1150,Mini Truck,11,224926,2785,9.51,10,99,181,100.7,30,1
VH1151,Truck,8,250587,1865,4.1,7,84,276,96.6,46,1
VH1152,Bus,5,152223,1187,3.71,6,43,262,97.3,67,0
VH1153,Bus,10,388197,3154,2.59,12,67,42,97.1,30,1
VH1154,Bus,5,102122,1559,3.73,4,36,528,87.6,78,0
VH1155,Mini Truck,4,159569,1041,6.1,5,54,276,88.5,59,0
VH1156,Van,11,270941,3450,11.88,13,69,471,97.5,30,1
VH1157,Truck,10,391292,1338,2.73,14,67,354,96.1,30,1
VH1158,Bus,3,86318,375,3.57,5,76,563,79.7,70,0
VH1159,Mini Truck,3,93681,733,9.84,2,67,366,88.8,80,0
VH1160,Truck,8,179739,1216,4.39,7,58,426,94.4,42,1
VH1161,Mini Truck,2,91818,564,5.07,2,98,146,94.7,90,0
VH1162,Bus,6,296377,2013,3.34,9,78,400,99.9,52,1
VH1163,Truck,11,342590,2811,2.56,12,71,246,107.6,30,1
VH1164,Truck,11,463409,3751,3.26,14,82,139,100.7,30,1
VH1165,Van,1,21219,235,13.98,0,44,119,90.2,100,0
VH1166,Van,9,251127,2311,10.72,9,99,449,100.8,33,1
VH1167,Van,7,311683,762,13.0,9,82,306,93.1,42,1
VH1168,Truck,12,434264,1849,3.61,15,60,391,99.7,30,1
VH1169,Truck,11,412589,3110,4.75,14,75,82,100.5,30,1
VH1170,Bus,5,149757,650,3.9,5,88,113,95.5,67,0
VH1171,Van,11,533076,967,8.3,15,72,269,101.9,30,1
VH1172,Van,10,307586,1081,12.98,10,100,232,102.2,30,1
VH1173,Van,4,123064,622,12.73,5,30,303,87.9,60,0
VH1174,Van,3,130807,496,12.79,2,44,46,89.7,82,0
VH1175,Van,1,31738,201,11.53,0,32,198,89.1,86,0
VH1176,Mini Truck,1,24153,295,7.63,1,38,507,81.7,89,0
VH1177,Bus,6,254542,1695,2.22,8,94,246,90.6,52,1
VH1178,Truck,12,585454,3095,3.25,18,33,82,100.7,30,1
VH1179,Bus,7,251745,1965,2.22,8,86,95,97.6,56,1
VH1180,Truck,6,279461,783,2.66,6,65,581,90.8,60,1
VH1181,Mini Truck,7,296602,1646,6.47,9,94,460,96.2,47,1
VH1182,Truck,12,299985,3641,4.13,14,100,240,109.3,30,1
VH1183,Bus,8,392807,1575,2.83,12,88,428,94.6,38,1
VH1184,Bus,12,289852,2240,2.85,13,62,403,101.7,30,1
VH1185,Van,11,468652,1154,8.55,16,40,115,92.7,30,1
VH1186,Bus,2,88797,541,3.62,2,37,595,91.8,84,0
VH1187,Mini Truck,11,284084,2562,6.77,14,84,72,98.8,30,1
VH1188,Mini Truck,10,363813,2240,5.52,14,94,237,96.6,30,1
VH1189,Van,11,472806,1798,13.08,15,74,589,100.5,30,1
VH1190,Mini Truck,2,89978,445,7.87,3,84,594,88.4,79,0
VH1191,Truck,10,340219,918,2.95,13,69,367,100.7,30,1
VH1192,Mini Truck,1,25944,153,7.83,0,81,91,84.9,97,0
VH1193,Van,12,571964,1085,8.55,19,97,240,106.9,30,1
VH1194,Bus,7,258920,1258,2.31,8,69,352,97.1,43,1
VH1195,Truck,1,25098,160,4.39,0,36,103,92.5,97,0
VH1196,Mini Truck,8,333523,2376,7.43,10,86,444,100.3,46,1
VH1197,Mini Truck,4,178951,1369,5.57,5,85,133,89.3,67,0
VH1198,Mini Truck,11,530973,2873,7.63,17,69,66,105.4,30,1
VH1199,Van,7,297109,672,8.05,10,68,236,89.0,46,1
VH1200,Van,5,175876,1071,8.72,5,93,460,90.4,65,0
VH1201,Van,3,109834,785,12.22,4,94,592,85.9,65,0
VH1202,Mini Truck,2,66022,203,7.18,2,88,99,98.6,84,0
VH1203,Mini Truck,10,425068,3148,7.02,14,83,316,107.1,30,1
VH1204,Truck,7,145467,1225,2.93,7,88,390,97.3,52,1
VH1205,Truck,7,167751,1058,3.59,6,81,556,101.9,50,1
VH1206,Truck,7,221336,2087,3.35,8,72,192,98.6,61,0
VH1207,Truck,9,239782,2893,3.77,11,74,379,97.9,30,1
VH1208,Van,4,93474,619,9.54,3,52,176,84.4,78,0
VH1209,Truck,3,142306,745,3.66,4,87,598,84.3,70,0
VH1210,Mini Truck,11,385747,1498,7.2,13,90,472,108.2,30,1
VH1211,Mini Truck,5,114725,1120,7.54,4,69,492,91.5,65,0
VH1212,Bus,1,21864,268,3.66,0,39,112,86.3,93,0
VH1213,Bus,8,312129,808,2.9,11,54,349,104.4,43,1
VH1214,Bus,9,259094,973,2.9,10,73,106,94.1,47,1
VH1215,Van,1,28118,304,13.95,1,97,555,86.6,92,0
VH1216,Van,6,217740,1059,10.32,8,73,73,93.4,51,0
VH1217,Mini Truck,2,61606,256,7.79,1,79,310,98.3,82,0
VH1218,Mini Truck,12,584228,3428,9.37,19,72,103,92.4,30,1
VH1219,Van,6,201325,1823,12.19,6,80,152,89.3,59,0
VH1220,Truck,5,246518,1171,4.11,7,72,150,91.5,60,0
VH1221,Truck,11,441986,2962,3.4,15,76,336,104.8,30,1
VH1222,Van,4,124791,1315,9.15,4,47,178,90.7,74,0
VH1223,Truck,5,126513,1439,4.43,5,97,58,92.1,65,0
VH1224,Mini Truck,10,268707,3246,6.88,11,50,205,97.1,30,1
VH1225,Van,12,469466,1138,10.47,16,60,474,105.0,30,1
VH1226,Mini Truck,12,475367,1918,7.67,16,69,500,102.1,30,1
VH1227,Van,6,297814,1648,13.91,8,89,308,94.9,55,1
VH1228,Bus,9,399498,1383,3.63,14,47,276,94.5,30,1
VH1229,Truck,11,471967,2400,3.89,14,43,548,94.8,30,1
VH1230,Truck,5,121987,728,3.18,4,95,170,89.2,73,0
VH1231,Bus,2,99670,387,3.63,1,74,47,91.0,80,0
VH1232,Bus,1,32991,337,2.75,2,79,103,77.8,82,0
VH1233,Mini Truck,4,83694,972,9.65,3,72,169,94.9,73,0
VH1234,Van,1,29400,321,12.18,0,47,500,91.9,100,0
VH1235,Bus,10,202753,1124,2.04,11,57,173,97.5,30,1
VH1236,Bus,2,90867,455,2.48,1,45,68,88.4,79,0
VH1237,Van,7,307497,2185,11.74,10,38,133,103.5,48,1
VH1238,Bus,10,481046,867,3.26,14,60,167,102.1,30,1
VH1239,Mini Truck,7,140410,1819,6.76,9,83,211,91.5,49,1
VH1240,Truck,9,369060,997,4.88,10,99,539,93.4,31,1
VH1241,Truck,7,263243,649,4.09,9,77,279,97.6,43,1
VH1242,Truck,6,137710,1186,3.1,6,43,360,91.0,54,0
VH1243,Van,1,31544,253,12.88,0,52,495,82.8,88,0
VH1244,Bus,11,315566,1432,2.13,12,88,57,105.7,30,1
VH1245,Mini Truck,4,85741,728,9.43,7,70,337,93.0,66,0
VH1246,Bus,9,428197,1757,2.07,12,54,312,101.3,30,1
VH1247,Mini Truck,1,48370,249,6.37,1,77,467,96.7,92,0
VH1248,Bus,12,470548,2543,2.68,17,53,528,100.2,30,1
VH1249,Bus,6,256125,1026,3.6,10,84,100,91.5,59,1
VH1250,Bus,10,294611,3034,2.59,12,43,101,97.8,30,1
VH1251,Mini Truck,11,375000,2135,7.23,15,84,190,104.0,30,1
VH1252,Bus,6,237212,566,3.45,7,75,465,93.0,55,0
VH1253,Mini Truck,11,250072,1187,8.36,12,81,392,105.8,30,1
VH1254,Van,1,24678,304,8.21,1,38,261,89.0,99,0
VH1255,Mini Truck,6,220362,1641,5.16,9,49,480,92.2,55,0
VH1256,Mini Truck,6,236376,2042,5.38,8,47,562,94.8,55,1
VH1257,Mini Truck,7,222414,1890,6.39,7,44,46,97.3,49,1
VH1258,Van,8,295723,2225,13.48,10,45,288,99.7,40,1
VH1259,Mini Truck,12,473975,1838,9.98,16,66,522,106.8,30,1
VH1260,Van,2,48895,235,10.71,2,86,109,86.2,83,0
VH1261,Mini Truck,11,402150,3786,5.32,14,99,317,102.4,30,1
VH1262,Mini Truck,3,143584,418,8.97,5,95,249,85.9,74,0
VH1263,Truck,4,183817,604,3.09,5,93,46,96.8,70,0
VH1264,Mini Truck,9,373415,2634,9.02,13,100,152,99.6,30,1
VH1265,Truck,2,60269,567,5.0,3,91,558,90.9,84,0
VH1266,Bus,7,290706,711,2.25,10,70,95,92.8,42,1
VH1267,Bus,8,338286,2759,2.69,8,100,206,100.7,45,1
VH1268,Van,7,271822,2425,13.21,7,45,550,88.5,46,1
VH1269,Van,5,143163,731,9.94,6,58,374,91.3,58,0
VH1270,Mini Truck,2,56423,361,8.18,1,100,301,83.8,78,0
VH1271,Van,11,378767,3396,11.2,13,94,192,97.2,30,1
VH1272,Van,3,146341,879,12.32,4,73,597,86.2,88,0
VH1273,Truck,1,22661,103,4.87,0,63,235,91.2,100,0
VH1274,Bus,10,215878,2839,3.78,9,99,316,100.3,30,1
VH1275,Mini Truck,8,224193,2303,6.49,9,39,81,99.2,38,1
VH1276,Van,8,268952,2623,10.79,9,73,167,96.3,40,1
VH1277,Mini Truck,12,407413,3967,9.94,14,74,428,106.2,30,1
VH1278,Van,6,254998,1630,8.64,8,60,497,92.5,50,1
VH1279,Truck,5,217858,907,2.85,6,36,317,101.9,67,0
VH1280,Bus,10,419223,1816,3.93,13,50,355,100.7,30,1
VH1281,Mini Truck,4,180023,646,7.49,6,95,498,93.2,73,0
VH1282,Bus,5,230382,447,2.18,6,80,537,92.9,54,0
VH1283,Bus,4,108199,1042,2.1,3,66,526,94.5,69,0
VH1284,Bus,5,240690,416,3.69,6,85,157,92.5,66,0
VH1285,Mini Truck,12,431772,4088,7.02,14,35,430,89.1,30,1
VH1286,Truck,10,494553,1597,3.41,16,66,95,101.4,30,1
VH1287,Bus,9,416115,2972,2.56,12,45,151,91.9,33,1
VH1288,Truck,7,237831,2187,4.97,9,76,167,96.7,51,1
VH1289,Van,10,466926,2444,11.0,15,35,59,103.3,30,1
VH1290,Van,12,414609,2900,11.12,16,49,547,107.7,30,1
VH1291,Van,6,280712,1132,8.98,9,68,364,93.3,52,1
VH1292,Bus,12,535134,2187,2.95,18,32,397,99.7,30,1
VH1293,Mini Truck,11,277464,2586,7.92,12,33,505,101.6,30,1
VH1294,Mini Truck,11,523287,3245,6.14,16,36,511,101.7,30,1
VH1295,Van,9,379329,1325,12.93,13,61,52,101.1,39,1
VH1296,Truck,4,82482,1223,3.28,4,49,442,91.9,73,0
VH1297,Van,7,271548,2147,11.67,11,90,83,95.1,44,1
VH1298,Van,9,288706,3017,9.95,11,91,558,99.2,30,1
VH1299,Bus,6,165398,1421,3.82,7,73,579,98.3,50,0
VH1300,Mini Truck,11,358601,3378,7.42,12,61,305,105.4,30,1
VH1301,Mini Truck,4,119008,911,8.52,5,92,344,92.5,67,0
VH1302,Bus,6,266928,1957,2.55,8,45,576,85.9,57,1
VH1303,Bus,7,230474,2143,3.61,9,67,63,88.7,44,1
VH1304,Mini Truck,12,281434,2378,9.62,12,62,510,94.2,30,1
VH1305,Van,4,188521,875,13.6,5,64,160,86.9,73,0
VH1306,Truck,10,325452,1793,2.63,12,97,251,97.7,30,1
VH1307,Van,1,23283,291,9.98,2,90,122,89.1,90,0
VH1308,Van,1,38033,160,10.44,3,90,508,82.2,81,0
VH1309,Van,5,184192,984,11.88,5,41,257,92.3,66,0
VH1310,Truck,3,114773,420,4.83,3,34,426,90.9,72,0
VH1311,Bus,3,97941,278,2.02,5,43,363,89.2,80,0
VH1312,Mini Truck,8,328116,2787,7.47,11,47,536,98.8,40,1
VH1313,Bus,5,150544,630,2.66,6,88,283,95.1,69,0
VH1314,Van,1,44137,252,12.74,1,54,199,89.3,92,0
VH1315,Bus,7,275077,1231,2.17,10,42,209,92.8,54,1
VH1316,Van,8,244830,1656,8.04,9,79,261,91.3,42,0
VH1317,Bus,5,186409,1018,3.16,5,31,287,90.0,69,0
VH1318,Mini Truck,12,363890,1214,8.34,14,89,334,102.9,30,1
VH1319,Van,7,319850,1589,13.54,9,69,140,105.4,44,1
VH1320,Mini Truck,6,281120,932,6.1,9,47,509,89.6,53,1
VH1321,Van,8,356014,2170,10.5,11,100,502,96.9,35,1
VH1322,Van,4,169173,487,11.15,5,97,390,89.4,82,0
VH1323,Truck,10,258829,1052,4.57,11,94,227,102.1,36,1
VH1324,Van,3,103007,772,10.65,2,56,520,89.7,79,0
VH1325,Truck,9,413561,947,3.63,13,95,445,97.8,30,1
VH1326,Bus,10,230270,3088,2.92,11,69,42,95.7,32,1
VH1327,Bus,5,100790,846,3.16,6,35,453,90.5,60,0
VH1328,Mini Truck,12,273428,3176,9.97,13,38,503,99.8,30,1
VH1329,Truck,5,207182,768,4.42,7,83,403,94.1,64,0
VH1330,Bus,8,387965,2186,2.75,11,99,156,101.4,38,1
VH1331,Mini Truck,2,51696,562,7.64,3,58,23,87.2,90,0
VH1332,Truck,5,221373,1515,3.56,7,78,255,101.2,59,0
VH1333,Van,8,250743,1275,9.65,10,44,52,94.4,37,1
VH1334,Bus,10,208202,1785,2.41,10,42,54,101.7,32,1
VH1335,Bus,10,225520,1802,3.48,10,81,469,99.9,40,1
VH1336,Van,9,293911,951,8.84,13,67,259,100.2,30,1
VH1337,Mini Truck,10,368120,1770,6.51,13,48,553,102.5,30,1
VH1338,Van,7,218774,1123,8.37,8,52,457,88.8,50,0
VH1339,Bus,1,31285,275,3.57,1,70,446,79.0,88,0
VH1340,Bus,3,99306,625,2.37,2,98,504,97.5,80,1
VH1341,Van,4,119418,615,12.83,6,37,595,90.3,72,0
VH1342,Bus,7,286089,1645,2.27,10,61,281,89.2,52,1
VH1343,Van,6,289530,641,13.53,10,77,114,91.5,51,1
VH1344,Van,1,28796,273,12.04,1,35,94,87.5,90,0
VH1345,Van,10,492998,1688,10.88,14,72,330,99.9,30,1
VH1346,Truck,4,104906,560,4.37,5,91,268,89.5,73,0
VH1347,Van,7,202739,1690,9.93,5,66,409,100.1,46,0
VH1348,Bus,9,368355,1983,2.52,12,95,529,98.2,35,1
VH1349,Bus,2,92613,640,3.52,1,70,228,92.4,84,0
VH1350,Mini Truck,6,228509,573,7.81,6,58,169,92.9,47,0
VH1351,Truck,5,245047,1596,3.95,7,83,322,91.5,67,0
VH1352,Van,4,123236,791,10.28,5,61,531,85.4,65,0
VH1353,Mini Truck,5,228089,1714,8.7,7,88,192,95.9,67,0
VH1354,Mini Truck,3,78344,977,7.73,3,53,575,91.2,84,0
VH1355,Truck,9,197733,1024,4.86,10,36,26,97.5,34,1
VH1356,Bus,3,142667,476,2.14,4,49,29,89.4,80,0
VH1357,Van,9,419080,2248,8.36,13,91,519,101.4,30,1
VH1358,Truck,1,37439,290,2.53,1,97,301,78.5,97,0
VH1359,Mini Truck,1,36456,300,9.03,1,52,129,90.5,78,0
VH1360,Truck,9,258065,1707,2.98,12,97,278,97.9,36,1
VH1361,Mini Truck,5,204044,561,6.87,5,81,490,95.0,59,0
VH1362,Van,12,358414,2188,12.1,14,40,52,110.7,30,1
VH1363,Truck,7,239421,1332,3.88,9,37,29,99.0,49,1
VH1364,Van,2,72758,604,11.87,2,72,599,96.0,90,0
VH1365,Truck,9,202309,1661,3.03,10,90,297,96.7,35,1
VH1366,Truck,2,84854,447,4.75,3,34,203,89.8,78,0
VH1367,Mini Truck,1,26788,153,8.76,1,80,98,82.1,100,0
VH1368,Mini Truck,3,133919,486,7.83,3,79,573,90.7,84,0
VH1369,Mini Truck,7,338078,2074,5.7,10,40,532,96.9,52,1
VH1370,Mini Truck,1,23200,303,6.16,1,39,368,87.9,84,0
VH1371,Bus,6,127766,1778,2.55,5,87,522,98.2,62,0
VH1372,Van,6,264975,1248,10.59,9,78,107,96.5,58,1
VH1373,Mini Truck,4,173468,470,5.41,5,49,409,91.5,64,0
VH1374,Van,12,444274,2257,10.16,14,41,25,96.4,30,1
VH1375,Mini Truck,8,254350,1744,5.51,11,41,211,90.8,36,1
VH1376,Bus,8,306010,2738,2.82,9,33,111,94.6,42,1
VH1377,Mini Truck,9,228792,2048,9.32,9,31,318,102.9,44,1
VH1378,Bus,7,344254,733,3.45,8,61,553,92.8,49,1
VH1379,Van,11,419613,1574,8.83,15,68,294,99.7,30,1
VH1380,Bus,3,68292,411,2.87,2,83,326,83.4,88,0
VH1381,Bus,2,63666,417,3.89,0,93,220,97.3,93,1
VH1382,Bus,2,48879,471,2.01,2,80,360,91.4,89,0
VH1383,Bus,6,235401,1165,2.86,8,47,327,94.4,53,0
VH1384,Mini Truck,10,305304,2762,6.57,12,80,346,102.2,30,1
VH1385,Mini Truck,12,571823,2971,9.84,16,61,353,99.5,30,1
VH1386,Bus,5,203005,1147,2.23,7,55,578,90.0,51,0
VH1387,Van,11,508410,990,13.72,16,89,234,97.5,30,1
VH1388,Bus,5,118129,1237,3.35,4,47,330,91.6,69,0
VH1389,Van,5,140407,1266,12.73,5,39,479,92.9,58,0
VH1390,Bus,10,410137,2988,3.01,13,83,576,101.3,30,1
VH1391,Truck,6,260746,1696,4.1,8,40,131,93.9,56,1
